Sl. No.,State/UT,District,Murder with Rape/Gang Rape - Col. ( 3),Dowry Deaths (Sec. 304B IPC) - Col. ( 4),Abetment to Suicide of Women (Sec. 305/306 IPC) - Col. ( 5),Miscarriage (Sec. 313 & 314 IPC) - Col. ( 6),Acid Attack (Sec. 326A IPC) - Col. ( 7),Attempt to Acid Attack (Sec. 326B IPC) - Col. ( 8),Cruelty by Husband or his relatives (Sec. 498 A IPC) - Col. ( 9),"Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19) Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52) - Col. ( 10)",Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec. 336 IPC) - Col. ( 11),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - Col. ( 12),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - Col. ( 13),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - K&A of Women to compel her for marriage (Total) (Col.15+Col.16) - Col. ( 14),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Women (Above 18 yrs) - Col. ( 15),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women to compel her for marriage (Sec. 366 IPC) - Girls (Below 18 yrs) - Col. ( 16),Kidnapping & Abduction of Women - Procuration of Minor Girls (Sec. 366A IPC) - Col. ( 17),Kidnapping & Abduction of Women - Importation of Girls from Foreign Country (Sec. 366B IPC) - Col. ( 18),"Kidnapping & Abduction of Women - Kidnapping and Abduction of Women - Others (Secs.363A, 365, 367, 368, 369 IPC) - Col. ( 19)",Human Trafficking (Sec. 370 & 370A IPC) - Col. ( 20,Selling of Minor Girls (Sec. 372 IPC) - Col. ( 21),Buying of Minor Girls (Sec. 373 IPC) - Col. ( 22),Rape (Sec. 376 IPC) - Rape (Col.24+Col.25) - Col. ( 23),Rape (Sec. 376 IPC) - Women (18 Yrs. And above) - Col. ( 24),Rape (Sec. 376 IPC) - Girls (Below 18 yrs) - Col. ( 25),Attempt to Commit Rape (Sec. 376/511 IPC) - Attempt to Commit Rape (Col.27+Col.28) - Col. ( 26),Attempt to Commit Rape (Sec. 376/511 IPC) - Women (18 Yrs. And above) - Col. ( 27),Attempt to Commit Rape (Sec. 376/511 IPC) - Girls (Below 18 yrs) - Col. ( 28),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31) - Col. ( 29),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Women (18 Yrs. And above) - Col. ( 30),Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Girls (Below 18 yrs) - Col. ( 31),Insult to the Modesty of Women (Sec. 509 IPC) - Insult to the Modesty of Women (Col.33+Col.34) - Col. ( 32),Insult to the Modesty of Women (Sec. 509 IPC) - Women (18 Yrs. And above) - Col. ( 33),Insult to the Modesty of Women (Sec. 509 IPC) - Girls (Below 18 yrs) - Col. ( 34),"Dowry Prohibition Act, 1961 - Col. ( 35)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41) - Col. ( 36)","Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Procuring, inducing Children for the sake of prostitution (Section 5) - Col. ( 37)",Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Detaining a person in premises where prostitution is carried on (Section 6) - Col. ( 38),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Prostitution in or in the vicinity of public places (Section 7) - Col. ( 39),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Seducing or soliciting for purpose of prostitution (Section 8) - Col. ( 40),Immoral Traffic (Prevention) Act 1956 (Women Victims cases only) - Other Sections under ITP Act - Col. ( 41),Protection of Women from Domestic Violence Act - Col. ( 42),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Cyber Crimes/Information Technology Act (Women Centric Crimes only) (Col.44+Col.45) - Col. ( 43),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Publishing or Transmitting of Sexually Explicit Material (Sec. 67A/67B (Girls) IT Act) - Col. ( 44),Cyber Crimes/Information Technology Act (Women Centric Crimes only) - Other Women Centric Cyber Crimes (Ex. Blackmailing/ Defamation/Morphing/ Fake Profile) - Col. ( 45),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Protection of Children from Sexual Violence Act (Girl Child Victims only) (Total) (Col.47 to Col.52) - Col. ( 46),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC) - Col. ( 47),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC) - Col. ( 48),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC) - Col. ( 49),Protection of Children from Sexual Violence Act (Girl Child Victims only) - Use of Child for Pornography/Storing Child Pornography Material (Sec. 14 & 15 of POCSO Act) - Col. ( 50),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act (Sections 17 to 22) / Other offences of POCSO Act - Col. ( 51),Protection of Children from Sexual Violence Act (Girl Child Victims only) - POCSO Act r/w Section 377 IPC / Unnatural Offences - Col. ( 52),"Indecent Representation of Women (Prohibition) Act, 1986 - Col. ( 53)",Total Crime against Women (IPC+SLL) - Col. ( 54)
16,Rajasthan,GRP Jodhpur,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
17,Rajasthan,Ganganagar,1,6,6,1,0,0,877,180,147,0,0,7,5,2,0,0,26,0,0,0,173,173,0,28,28,0,257,257,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,121,51,67,1,1,1,0,0,1651
18,Rajasthan,Hanumangarh,0,16,9,0,0,0,755,129,98,0,0,11,3,8,0,0,20,0,0,0,130,130,0,11,11,0,203,203,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,125,64,59,0,2,0,0,0,1383
19,Rajasthan,Jaipur East,1,11,9,0,0,0,300,137,119,0,0,9,8,1,0,0,9,0,0,0,134,134,0,11,11,0,206,206,0,4,4,0,0,0,0,0,0,0,0,0,3,3,0,79,41,34,0,4,0,0,0,895
20,Rajasthan,Jaipur North,0,4,0,0,0,0,320,58,34,0,0,1,1,0,0,0,23,0,0,0,93,93,0,2,2,0,89,89,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,61,31,30,0,0,0,0,0,634
21,Rajasthan,Jaipur Rural,1,11,11,0,0,0,537,147,41,0,0,10,10,0,1,0,95,0,0,0,122,122,0,27,27,0,183,183,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,121,57,21,2,0,41,0,0,1165
22,Rajasthan,Jaipur South,0,9,1,1,0,0,357,120,116,0,0,3,3,0,0,0,1,0,0,0,118,118,0,6,6,0,176,176,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,44,24,11,2,5,2,0,0,839
23,Rajasthan,Jaipur West,0,9,3,0,0,0,538,166,75,0,0,4,3,1,0,0,87,0,0,0,152,152,0,8,8,0,142,142,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,34,24,0,1,31,0,0,1109
24,Rajasthan,Jaisalmer,0,4,1,0,0,0,63,19,8,0,0,10,2,8,0,0,1,0,0,0,29,29,0,11,11,0,128,128,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,7,12,0,0,0,0,0,276
25,Rajasthan,Jalore,0,13,5,0,0,0,223,93,58,0,0,24,24,0,0,0,11,0,0,0,76,76,0,13,13,0,218,218,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,100,55,45,0,0,0,0,0,743
26,Rajasthan,Jhalawar,0,5,7,0,1,0,539,179,156,0,1,18,15,3,0,0,4,0,0,0,123,123,0,8,8,0,239,239,0,4,4,0,0,0,0,0,0,0,0,0,3,3,0,113,43,67,1,1,1,0,0,1221
27,Rajasthan,Jhunjhunu,0,9,7,0,0,0,540,128,65,0,0,63,34,29,0,0,0,0,0,0,88,88,0,19,19,0,69,69,0,1,1,0,0,3,0,0,0,0,3,0,7,5,2,42,30,10,2,0,0,0,0,913
28,Rajasthan,Jodhpur East,0,5,3,0,0,0,237,60,21,0,0,0,0,0,0,0,39,0,0,0,81,81,0,0,0,0,185,185,0,1,1,0,0,1,0,0,0,0,1,0,15,6,9,68,21,42,5,0,0,0,0,656
29,Rajasthan,Jodhpur West,0,2,2,0,0,0,247,96,80,0,0,10,7,3,0,0,6,0,0,0,64,64,0,4,4,0,215,215,0,18,18,0,0,1,1,0,0,0,0,0,0,0,0,75,43,26,0,6,0,0,0,724
30,Rajasthan,Jodhpur Rural,0,25,3,0,0,0,235,77,13,0,0,1,0,1,0,0,63,1,0,0,68,68,0,25,25,0,159,159,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,88,37,35,0,16,0,0,0,683
31,Rajasthan,Karauli,0,20,5,0,0,0,334,162,61,0,0,86,86,0,0,0,15,0,0,0,111,111,0,74,74,0,173,173,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,55,28,25,2,0,0,0,0,959
32,Rajasthan,Kota City,0,7,4,0,1,0,435,162,155,0,0,3,3,0,0,0,4,1,0,0,158,158,0,4,4,0,216,216,0,6,6,0,4,1,0,0,0,0,1,0,3,3,0,88,30,52,3,2,1,0,0,1090
33,Rajasthan,Kota Rural,0,4,2,0,0,0,215,97,45,0,0,3,3,0,0,0,49,0,0,0,70,70,0,7,7,0,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,21,16,0,0,17,0,0,610
34,Rajasthan,Nagaur,2,19,4,0,0,0,595,161,98,0,0,42,41,1,0,0,21,1,0,0,158,158,0,46,46,0,309,309,0,1,1,0,0,6,0,0,0,0,6,0,6,4,2,126,68,58,0,0,0,0,0,1434
35,Rajasthan,Pali,0,10,10,0,0,0,720,158,51,0,0,38,38,0,0,0,69,0,0,0,145,145,0,18,18,0,347,347,0,0,0,0,0,6,0,0,0,0,6,0,4,4,0,82,15,13,2,0,52,0,0,1500
36,Rajasthan,Pratapgarh,0,8,8,0,0,0,248,183,123,0,0,60,58,2,0,0,0,0,0,0,171,171,0,23,23,0,233,233,0,1,1,0,0,0,0,0,0,0,0,1,3,3,0,64,51,13,0,0,0,0,0,943
37,Rajasthan,Rajsamand,0,6,4,0,0,0,311,151,139,0,0,4,3,1,0,0,8,0,0,0,70,70,0,7,7,0,147,147,0,1,1,0,0,4,0,0,4,0,0,0,2,1,1,44,24,20,0,0,0,0,0,747
38,Rajasthan,Sawai Madhopur,0,8,2,0,0,0,326,102,22,0,0,74,45,29,0,0,6,1,0,0,104,104,0,41,41,0,155,155,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,111,31,29,2,1,48,0,0,852
39,Rajasthan,Sikar,0,14,6,0,0,0,732,205,101,0,0,20,17,3,0,0,84,1,0,0,135,135,0,33,33,0,148,148,0,0,0,0,0,0,0,0,0,0,0,0,18,9,9,154,64,54,3,33,0,0,0,1446
40,Rajasthan,Sirohi,1,4,2,0,0,0,255,94,40,0,0,13,11,2,0,0,41,0,0,0,89,89,0,24,24,0,225,225,0,1,1,0,0,3,1,0,0,0,2,0,4,4,0,68,35,20,2,3,8,0,0,770
41,Rajasthan,Tonk,0,12,2,0,0,0,327,112,67,0,0,8,8,0,0,0,37,0,0,0,102,102,0,16,16,0,109,109,0,1,1,0,0,1,1,0,0,0,0,0,3,3,0,81,28,31,3,0,19,0,0,766
42,Rajasthan,Udaipur,0,9,14,0,0,0,768,497,429,0,0,47,43,4,0,0,21,0,0,0,283,283,0,35,35,0,455,455,0,3,3,0,0,2,0,0,1,0,1,2,13,13,0,163,110,28,2,10,13,0,0,2244
43,Rajasthan,Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Rajasthan,SCRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
45,Rajasthan,SOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Rajasthan,SSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Rajasthan,Jaipur Crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Rajasthan,Bhiwadi,0,14,3,0,0,0,449,193,80,1,0,37,37,0,0,0,75,0,0,0,169,169,0,35,35,0,175,175,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,57,21,14,1,0,21,0,0,1098
Total Districts,Total Districts,Total Districts,9,451,210,3,4,1,18847,6587,3543,1,1,1309,852,457,1,0,1732,5,0,0,5399,5399,0,1053,1053,0,8508,8508,0,83,83,0,8,42,4,0,7,0,31,3,166,136,30,3679,1694,1357,46,170,410,2,0,45058
1,Sikkim,Gangtok (East),0,0,0,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,8,8,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,31,26,5,0,0,0,0,0,70
2,Sikkim,Mangan (North),0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,1,0,0,0,0,12
3,Sikkim,Namchi (South),0,0,0,0,0,0,1,6,5,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,9,0,0,0,0,0,42
4,Sikkim,Soreng (West),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,14
5,Sikkim,Pakyong (East),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1,1,0,0,0,0,22
6,Sikkim,Gyalshing (West),0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,0,0,0,0,19
Total Districts,Total Districts,Total Districts,0,0,0,0,0,0,2,34,31,0,0,0,0,0,1,0,2,0,0,0,13,13,0,1,1,0,23,23,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,103,73,28,2,0,0,0,0,179
1,Tamil Nadu,Ariyalur,0,1,3,0,0,0,9,2,1,0,0,1,1,0,0,0,0,0,0,0,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,99,76,14,9,0,0,0,0,129
2,Tamil Nadu,Chennai,0,2,10,1,1,0,106,7,0,0,1,3,2,1,3,0,0,0,0,0,36,36,0,0,0,0,139,139,0,14,14,0,8,58,0,5,0,0,53,0,48,12,36,306,196,77,28,5,0,0,0,736
3,Tamil Nadu,Coimbatore,0,0,10,0,0,0,19,6,0,0,1,5,3,2,0,0,0,0,0,0,13,13,0,0,0,0,21,21,0,0,0,0,2,24,0,0,0,0,24,0,10,9,1,218,160,41,16,1,0,0,0,323
4,Tamil Nadu,Coimbatore City,0,0,0,0,0,0,35,3,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,10,10,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,75,45,30,0,0,0,0,0,138
5,Tamil Nadu,Cuddalore,0,4,20,0,0,0,44,86,0,0,0,86,86,0,0,0,0,0,0,0,26,26,0,0,0,0,37,37,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,190,124,66,0,0,0,0,0,410
6,Tamil Nadu,Dharmapuri,0,0,6,0,0,0,11,12,8,0,0,3,1,2,0,0,1,0,0,0,7,7,0,0,0,0,27,27,0,1,1,0,0,1,0,0,0,0,1,0,2,2,0,118,96,13,9,0,0,0,0,185
7,Tamil Nadu,Dindigul,1,0,3,0,0,0,58,21,7,0,0,3,3,0,11,0,0,0,0,0,6,6,0,0,0,0,40,40,0,1,1,0,1,6,0,0,0,0,6,0,3,3,0,115,96,7,10,2,0,0,0,255
8,Tamil Nadu,Erode,0,0,3,0,0,0,8,4,1,0,0,2,2,0,1,0,0,0,0,0,6,6,0,0,0,0,28,28,0,0,0,0,2,13,0,0,0,13,0,0,1,1,0,169,149,20,0,0,0,0,0,234
9,Tamil Nadu,Kanchipuram,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,40,38,2,0,0,0,0,0,51
10,Tamil Nadu,Kanyakumari,0,0,6,0,0,0,3,27,0,0,0,27,2,25,0,0,0,0,0,0,4,4,0,0,0,0,40,40,0,1,1,0,37,0,0,0,0,0,0,0,0,0,0,102,69,28,5,0,0,0,0,220
11,Tamil Nadu,Karur,0,2,1,0,0,0,18,2,0,0,0,2,2,0,0,0,0,0,0,0,5,5,0,2,2,0,8,8,0,0,0,0,4,6,1,0,0,0,5,5,0,0,0,71,52,10,9,0,0,0,0,124
12,Tamil Nadu,Krishnagiri,0,0,6,0,0,0,7,7,0,0,1,6,0,6,0,0,0,0,0,0,3,3,0,0,0,0,19,19,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,94,79,13,2,0,0,0,0,139
13,Tamil Nadu,Madurai,0,2,4,0,0,0,38,21,0,0,0,13,13,0,8,0,0,0,0,0,20,20,0,2,2,0,50,50,0,2,2,0,11,0,0,0,0,0,0,0,1,1,0,179,140,23,15,1,0,0,0,330
14,Tamil Nadu,Madurai City,0,1,1,0,0,0,85,6,0,0,1,4,2,2,0,0,1,0,0,0,13,13,0,0,0,0,37,37,0,1,1,0,0,8,8,0,0,0,0,0,0,0,0,131,95,36,0,0,0,0,0,283
15,Tamil Nadu,Nagapattinam,0,0,0,0,0,0,19,10,0,0,0,9,4,5,1,0,0,0,0,0,8,8,0,1,1,0,58,58,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,105,72,29,4,0,0,0,0,206
16,Tamil Nadu,Namakkal,0,1,3,0,0,0,5,2,1,0,0,1,0,1,0,0,0,0,0,0,6,6,0,0,0,0,37,37,0,0,0,0,3,5,0,0,0,0,5,0,2,2,0,120,101,15,4,0,0,0,0,184
17,Tamil Nadu,Nilgiris,0,1,5,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,63,54,9,0,0,0,0,0,91
18,Tamil Nadu,Perambalur,0,0,3,0,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,1,1,0,16,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,67,46,15,6,0,0,0,0,106
19,Tamil Nadu,Pudukottai,0,0,4,0,0,0,32,4,0,0,0,4,4,0,0,0,0,0,0,0,6,6,0,0,0,0,54,54,0,2,2,0,0,0,0,0,0,0,0,0,16,16,0,70,45,14,11,0,0,0,0,188
20,Tamil Nadu,Ramnathapuram,0,0,0,0,0,0,10,26,20,0,0,6,6,0,0,0,0,1,0,0,15,15,0,2,2,0,15,15,0,0,0,0,24,0,0,0,0,0,0,0,2,2,0,111,63,39,9,0,0,0,0,206
21,Tamil Nadu,Railway Chennai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,10
22,Tamil Nadu,Railway Trichy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Tamil Nadu,Salem,0,0,10,0,0,0,14,23,0,0,0,23,23,0,0,0,0,0,0,0,5,5,0,0,0,0,70,70,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,172,125,13,34,0,0,0,0,296
24,Tamil Nadu,Salem City,0,1,0,0,0,0,11,44,6,0,0,35,5,30,2,0,1,0,0,0,2,2,0,0,0,0,29,29,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,75,43,20,11,1,0,0,0,169
25,Tamil Nadu,Sivagangai,0,2,0,0,0,0,36,23,16,0,0,5,5,0,2,0,0,0,0,0,10,10,0,1,1,0,30,30,0,0,0,0,10,0,0,0,0,0,0,0,13,2,11,113,84,26,3,0,0,0,0,238
26,Tamil Nadu,Thanjavur,1,0,14,0,0,1,48,8,0,0,0,8,6,2,0,0,0,0,0,0,8,8,0,0,0,0,138,138,0,6,6,0,15,0,0,0,0,0,0,0,2,2,0,143,99,21,20,3,0,0,0,384
27,Tamil Nadu,Theni,1,1,7,0,0,0,65,5,4,0,0,1,0,1,0,0,0,0,0,0,10,10,0,0,0,0,43,43,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,192,153,20,19,0,0,0,0,329
28,Tamil Nadu,Thirunelveli,0,2,5,0,0,0,22,16,1,0,0,14,13,1,0,0,1,1,0,0,15,10,5,1,1,0,59,57,2,0,0,0,0,3,0,0,0,0,3,0,2,1,1,90,60,24,5,0,1,0,0,216
29,Tamil Nadu,Thirunelveli City,0,0,0,0,0,0,9,2,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,18,18,0,0,0,0,3,8,8,0,0,0,0,0,1,1,0,37,24,12,1,0,0,0,0,79
30,Tamil Nadu,Thiruvallur,1,0,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,2,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,57,43,3,11,0,0,0,0,117
31,Tamil Nadu,Thiruvannamalai,0,0,9,0,0,0,10,4,0,0,0,4,2,2,0,0,0,0,0,0,8,8,0,1,1,0,22,22,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,144,113,17,12,0,2,0,0,207
32,Tamil Nadu,Thiruvarur,0,2,2,0,0,0,13,7,0,0,0,7,7,0,0,0,0,0,0,0,9,9,0,0,0,0,13,13,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,77,57,7,12,0,1,0,0,127
33,Tamil Nadu,Thoothukudi,0,0,6,0,0,0,29,27,3,0,0,24,5,19,0,0,0,0,0,0,14,14,0,1,1,0,42,41,1,3,3,0,12,5,5,0,0,0,0,0,2,2,0,131,90,31,9,1,0,0,0,272
34,Tamil Nadu,Tiruppur,0,0,3,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,18,18,0,0,0,0,0,5,0,0,0,0,5,0,2,2,0,121,87,32,0,2,0,0,0,171
35,Tamil Nadu,Tiruppur City,0,0,0,0,0,0,1,16,5,0,0,11,3,8,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,74,52,18,3,1,0,0,0,100
36,Tamil Nadu,Trichy,0,0,2,0,0,0,70,9,0,0,0,9,4,5,0,0,0,0,0,0,16,16,0,2,2,0,42,42,0,7,7,0,0,4,0,4,0,0,0,0,2,2,0,101,75,10,13,0,3,0,0,255
37,Tamil Nadu,Trichy City,0,0,1,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,15,15,0,0,0,0,3,17,0,0,0,0,17,0,1,1,0,48,34,7,6,1,0,0,0,110
38,Tamil Nadu,Vellore,0,0,0,0,0,0,19,4,0,0,0,1,1,0,3,0,0,0,0,0,2,2,0,0,0,0,13,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,67,49,14,4,0,0,0,0,106
39,Tamil Nadu,Villupuram,0,1,12,0,0,0,20,43,0,0,0,43,13,30,0,0,0,0,0,0,22,22,0,0,0,0,14,14,0,0,0,0,5,8,0,0,0,0,8,0,0,0,0,85,59,18,6,1,1,0,0,210
40,Tamil Nadu,Virudhunagar,0,1,2,0,0,1,20,8,6,0,0,1,1,0,1,0,0,0,0,0,17,17,0,0,0,0,33,33,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,183,147,22,14,0,0,0,0,278
41,Tamil Nadu,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
42,Tamil Nadu,Other Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
43,Tamil Nadu,Chengalpattu,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,3,3,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,43,30,10,3,0,0,0,0,64
44,Tamil Nadu,Kallakurichi,0,1,0,0,0,0,18,20,0,0,0,20,20,0,0,0,0,0,0,0,8,8,0,0,0,0,38,38,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,76,60,14,2,0,0,0,0,170
45,Tamil Nadu,Ranipet,0,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,28,18,7,3,0,0,0,0,50
46,Tamil Nadu,Tiruppattur,1,0,3,0,0,0,4,9,0,0,0,9,2,7,0,0,0,0,0,0,4,4,0,0,0,0,15,15,0,4,4,0,6,2,0,0,0,0,2,0,0,0,0,62,51,11,0,0,0,0,0,110
47,Tamil Nadu,Tenkasi,1,0,5,0,0,0,14,9,6,0,0,3,3,0,0,0,0,0,0,0,8,8,0,2,2,0,59,59,0,1,1,0,7,4,4,0,0,0,0,0,0,0,0,131,93,28,9,0,1,0,0,241
48,Tamil Nadu,Avadi,0,3,13,0,0,0,18,6,1,0,2,1,1,0,2,0,0,0,0,0,10,10,0,0,0,0,8,7,1,3,1,2,15,6,6,0,0,0,0,0,11,11,0,136,85,35,15,1,0,0,0,229
49,Tamil Nadu,Tambaram,0,0,7,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,6,6,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,71,46,21,4,0,0,0,0,127
Total Districts,Total Districts,Total Districts,6,29,203,2,2,2,1043,536,94,1,6,397,248,149,34,0,4,2,0,0,421,416,5,21,21,0,1414,1410,4,58,56,2,220,206,41,10,2,13,140,5,131,82,49,4906,3573,948,356,20,9,0,0,9207
1,Telangana,Cyberabad Commissionerate,3,11,63,0,1,1,1206,486,444,0,1,38,1,37,0,0,3,148,0,0,124,124,0,0,0,0,489,489,0,107,107,0,0,0,0,0,0,0,0,0,16,3,13,314,224,82,6,2,0,0,0,2969
