State,Crime_Head,Year,Persons_Arrested
RAJASTHAN,IMMORAL TRAFFIC (P) ACT,2003,256
SIKKIM,IMMORAL TRAFFIC (P) ACT,2003,7
TAMIL NADU,IMMORAL TRAFFIC (P) ACT,2003,3303
TRIPURA,IMMORAL TRAFFIC (P) ACT,2003,0
UTTAR PRADESH,IMMORAL TRAFFIC (P) ACT,2003,304
UTTARAKHAND,IMMORAL TRAFFIC (P) ACT,2003,0
WEST BENGAL,IMMORAL TRAFFIC (P) ACT,2003,328
A & N ISLANDS,IMMORAL TRAFFIC (P) ACT,2003,0
CHANDIGARH,IMMORAL TRAFFIC (P) ACT,2003,14
D & N HAVELI,IMMORAL TRAFFIC (P) ACT,2003,8
DAMAN & DIU,IMMORAL TRAFFIC (P) ACT,2003,0
DELHI,IMMORAL TRAFFIC (P) ACT,2003,205
LAKSHADWEEP,IMMORAL TRAFFIC (P) ACT,2003,0
PUDUCHERRY,IMMORAL TRAFFIC (P) ACT,2003,67
ANDHRA PRADESH,DOWRY PROHIBITION ACT,2003,405
ARUNACHAL PRADESH,DOWRY PROHIBITION ACT,2003,0
ASSAM,DOWRY PROHIBITION ACT,2003,135
BIHAR,DOWRY PROHIBITION ACT,2003,1831
CHHATTISGARH,DOWRY PROHIBITION ACT,2003,33
GOA,DOWRY PROHIBITION ACT,2003,0
GUJARAT,DOWRY PROHIBITION ACT,2003,0
HARYANA,DOWRY PROHIBITION ACT,2003,3
HIMACHAL PRADESH,DOWRY PROHIBITION ACT,2003,8
JAMMU & KASHMIR,DOWRY PROHIBITION ACT,2003,7
JHARKHAND,DOWRY PROHIBITION ACT,2003,774
KARNATAKA,DOWRY PROHIBITION ACT,2003,772
KERALA,DOWRY PROHIBITION ACT,2003,8
MADHYA PRADESH,DOWRY PROHIBITION ACT,2003,73
MAHARASHTRA,DOWRY PROHIBITION ACT,2003,83
MANIPUR,DOWRY PROHIBITION ACT,2003,0
MEGHALAYA,DOWRY PROHIBITION ACT,2003,0
MIZORAM,DOWRY PROHIBITION ACT,2003,0
NAGALAND,DOWRY PROHIBITION ACT,2003,0
ODISHA,DOWRY PROHIBITION ACT,2003,716
PUNJAB,DOWRY PROHIBITION ACT,2003,6
RAJASTHAN,DOWRY PROHIBITION ACT,2003,1
SIKKIM,DOWRY PROHIBITION ACT,2003,0
TAMIL NADU,DOWRY PROHIBITION ACT,2003,353
TRIPURA,DOWRY PROHIBITION ACT,2003,0
UTTAR PRADESH,DOWRY PROHIBITION ACT,2003,1019
UTTARAKHAND,DOWRY PROHIBITION ACT,2003,5
WEST BENGAL,DOWRY PROHIBITION ACT,2003,26
A & N ISLANDS,DOWRY PROHIBITION ACT,2003,0
CHANDIGARH,DOWRY PROHIBITION ACT,2003,0
D & N HAVELI,DOWRY PROHIBITION ACT,2003,0
DAMAN & DIU,DOWRY PROHIBITION ACT,2003,0
DELHI,DOWRY PROHIBITION ACT,2003,14
LAKSHADWEEP,DOWRY PROHIBITION ACT,2003,0
PUDUCHERRY,DOWRY PROHIBITION ACT,2003,15
ANDHRA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,911
ARUNACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
ASSAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
BIHAR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
CHHATTISGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
GOA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
GUJARAT,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,15
HARYANA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
HIMACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
JAMMU & KASHMIR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
JHARKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
KARNATAKA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
KERALA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,29
MADHYA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
MAHARASHTRA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,8
MANIPUR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
MEGHALAYA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
MIZORAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
NAGALAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
ODISHA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
PUNJAB,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,1
RAJASTHAN,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,94
SIKKIM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
TAMIL NADU,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,7
TRIPURA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
UTTAR PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
UTTARAKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
WEST BENGAL,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,1
A & N ISLANDS,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
CHANDIGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
D & N HAVELI,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
DAMAN & DIU,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
DELHI,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
LAKSHADWEEP,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
PUDUCHERRY,INDECENT REPRESENTATION OF WOMEN (P) ACT,2003,0
ANDHRA PRADESH,COMMISSION OF SATI (P) ACT,2003,0
ARUNACHAL PRADESH,COMMISSION OF SATI (P) ACT,2003,0
ASSAM,COMMISSION OF SATI (P) ACT,2003,0
BIHAR,COMMISSION OF SATI (P) ACT,2003,0
CHHATTISGARH,COMMISSION OF SATI (P) ACT,2003,0
GOA,COMMISSION OF SATI (P) ACT,2003,0
GUJARAT,COMMISSION OF SATI (P) ACT,2003,0
HARYANA,COMMISSION OF SATI (P) ACT,2003,0
HIMACHAL PRADESH,COMMISSION OF SATI (P) ACT,2003,0
JAMMU & KASHMIR,COMMISSION OF SATI (P) ACT,2003,0
JHARKHAND,COMMISSION OF SATI (P) ACT,2003,0
KARNATAKA,COMMISSION OF SATI (P) ACT,2003,0
KERALA,COMMISSION OF SATI (P) ACT,2003,0
MADHYA PRADESH,COMMISSION OF SATI (P) ACT,2003,0
MAHARASHTRA,COMMISSION OF SATI (P) ACT,2003,0
MANIPUR,COMMISSION OF SATI (P) ACT,2003,0
MEGHALAYA,COMMISSION OF SATI (P) ACT,2003,0
MIZORAM,COMMISSION OF SATI (P) ACT,2003,0
NAGALAND,COMMISSION OF SATI (P) ACT,2003,0
ODISHA,COMMISSION OF SATI (P) ACT,2003,0
PUNJAB,COMMISSION OF SATI (P) ACT,2003,0
RAJASTHAN,COMMISSION OF SATI (P) ACT,2003,0
SIKKIM,COMMISSION OF SATI (P) ACT,2003,0
TAMIL NADU,COMMISSION OF SATI (P) ACT,2003,0
TRIPURA,COMMISSION OF SATI (P) ACT,2003,0
UTTAR PRADESH,COMMISSION OF SATI (P) ACT,2003,0
UTTARAKHAND,COMMISSION OF SATI (P) ACT,2003,0
WEST BENGAL,COMMISSION OF SATI (P) ACT,2003,0
A & N ISLANDS,COMMISSION OF SATI (P) ACT,2003,0
CHANDIGARH,COMMISSION OF SATI (P) ACT,2003,0
D & N HAVELI,COMMISSION OF SATI (P) ACT,2003,0
DAMAN & DIU,COMMISSION OF SATI (P) ACT,2003,0
DELHI,COMMISSION OF SATI (P) ACT,2003,0
LAKSHADWEEP,COMMISSION OF SATI (P) ACT,2003,0
PUDUCHERRY,COMMISSION OF SATI (P) ACT,2003,0
ANDHRA PRADESH,RAPE,2004,1443
ARUNACHAL PRADESH,RAPE,2004,56
ASSAM,RAPE,2004,1233
BIHAR,RAPE,2004,1157
CHHATTISGARH,RAPE,2004,1144
GOA,RAPE,2004,48
GUJARAT,RAPE,2004,481
HARYANA,RAPE,2004,573
HIMACHAL PRADESH,RAPE,2004,187
JAMMU & KASHMIR,RAPE,2004,271
JHARKHAND,RAPE,2004,759
KARNATAKA,RAPE,2004,397
KERALA,RAPE,2004,562
MADHYA PRADESH,RAPE,2004,4181
MAHARASHTRA,RAPE,2004,1914
MANIPUR,RAPE,2004,29
MEGHALAYA,RAPE,2004,57
MIZORAM,RAPE,2004,15
NAGALAND,RAPE,2004,20
ODISHA,RAPE,2004,906
PUNJAB,RAPE,2004,563
RAJASTHAN,RAPE,2004,995
SIKKIM,RAPE,2004,3
TAMIL NADU,RAPE,2004,681
TRIPURA,RAPE,2004,190
UTTAR PRADESH,RAPE,2004,1942
UTTARAKHAND,RAPE,2004,226
WEST BENGAL,RAPE,2004,1661
A & N ISLANDS,RAPE,2004,11
CHANDIGARH,RAPE,2004,27
D & N HAVELI,RAPE,2004,12
DAMAN & DIU,RAPE,2004,2
DELHI,RAPE,2004,737
LAKSHADWEEP,RAPE,2004,0
PUDUCHERRY,RAPE,2004,6
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION,2004,1105
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION,2004,34
ASSAM,KIDNAPPING AND ABDUCTION,2004,2083
BIHAR,KIDNAPPING AND ABDUCTION,2004,1606
CHHATTISGARH,KIDNAPPING AND ABDUCTION,2004,225
GOA,KIDNAPPING AND ABDUCTION,2004,14
GUJARAT,KIDNAPPING AND ABDUCTION,2004,1171
HARYANA,KIDNAPPING AND ABDUCTION,2004,315
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION,2004,73
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION,2004,672
JHARKHAND,KIDNAPPING AND ABDUCTION,2004,336
KARNATAKA,KIDNAPPING AND ABDUCTION,2004,278
KERALA,KIDNAPPING AND ABDUCTION,2004,135
MADHYA PRADESH,KIDNAPPING AND ABDUCTION,2004,986
MAHARASHTRA,KIDNAPPING AND ABDUCTION,2004,1125
MANIPUR,KIDNAPPING AND ABDUCTION,2004,77
MEGHALAYA,KIDNAPPING AND ABDUCTION,2004,16
MIZORAM,KIDNAPPING AND ABDUCTION,2004,0
NAGALAND,KIDNAPPING AND ABDUCTION,2004,2
ODISHA,KIDNAPPING AND ABDUCTION,2004,477
PUNJAB,KIDNAPPING AND ABDUCTION,2004,266
RAJASTHAN,KIDNAPPING AND ABDUCTION,2004,1245
SIKKIM,KIDNAPPING AND ABDUCTION,2004,4
TAMIL NADU,KIDNAPPING AND ABDUCTION,2004,985
TRIPURA,KIDNAPPING AND ABDUCTION,2004,83
UTTAR PRADESH,KIDNAPPING AND ABDUCTION,2004,3709
UTTARAKHAND,KIDNAPPING AND ABDUCTION,2004,202
WEST BENGAL,KIDNAPPING AND ABDUCTION,2004,1620
A & N ISLANDS,KIDNAPPING AND ABDUCTION,2004,2
CHANDIGARH,KIDNAPPING AND ABDUCTION,2004,61
D & N HAVELI,KIDNAPPING AND ABDUCTION,2004,6
DAMAN & DIU,KIDNAPPING AND ABDUCTION,2004,0
DELHI,KIDNAPPING AND ABDUCTION,2004,331
LAKSHADWEEP,KIDNAPPING AND ABDUCTION,2004,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION,2004,6
ANDHRA PRADESH,DOWRY DEATHS,2004,1102
ARUNACHAL PRADESH,DOWRY DEATHS,2004,0
ASSAM,DOWRY DEATHS,2004,161
BIHAR,DOWRY DEATHS,2004,2317
CHHATTISGARH,DOWRY DEATHS,2004,220
GOA,DOWRY DEATHS,2004,8
GUJARAT,DOWRY DEATHS,2004,122
HARYANA,DOWRY DEATHS,2004,563
HIMACHAL PRADESH,DOWRY DEATHS,2004,25
JAMMU & KASHMIR,DOWRY DEATHS,2004,24
JHARKHAND,DOWRY DEATHS,2004,578
KARNATAKA,DOWRY DEATHS,2004,553
KERALA,DOWRY DEATHS,2004,53
MADHYA PRADESH,DOWRY DEATHS,2004,2257
MAHARASHTRA,DOWRY DEATHS,2004,1235
MANIPUR,DOWRY DEATHS,2004,0
MEGHALAYA,DOWRY DEATHS,2004,3
MIZORAM,DOWRY DEATHS,2004,0
NAGALAND,DOWRY DEATHS,2004,0
ODISHA,DOWRY DEATHS,2004,932
PUNJAB,DOWRY DEATHS,2004,345
RAJASTHAN,DOWRY DEATHS,2004,680
SIKKIM,DOWRY DEATHS,2004,0
TAMIL NADU,DOWRY DEATHS,2004,514
TRIPURA,DOWRY DEATHS,2004,28
UTTAR PRADESH,DOWRY DEATHS,2004,4836
UTTARAKHAND,DOWRY DEATHS,2004,267
WEST BENGAL,DOWRY DEATHS,2004,976
A & N ISLANDS,DOWRY DEATHS,2004,0
CHANDIGARH,DOWRY DEATHS,2004,13
D & N HAVELI,DOWRY DEATHS,2004,0
DAMAN & DIU,DOWRY DEATHS,2004,0
DELHI,DOWRY DEATHS,2004,298
LAKSHADWEEP,DOWRY DEATHS,2004,0
PUDUCHERRY,DOWRY DEATHS,2004,9
ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,4259
ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,68
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1322
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1058
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1972
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,24
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1132
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,491
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,347
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1857
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,425
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1925
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,2825
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,8022
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,3355
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,26
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,17
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,60
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,2
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,2468
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,337
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,3150
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,58
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,2767
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,189
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,2592
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,222
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,1714
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,13
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,24
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,8
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,0
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,756
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,0
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2004,94
ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN,2004,2528
ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,2004,0
ASSAM,INSULT TO THE MODESTY OF WOMEN,2004,19
BIHAR,INSULT TO THE MODESTY OF WOMEN,2004,18
CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN,2004,155
GOA,INSULT TO THE MODESTY OF WOMEN,2004,17
GUJARAT,INSULT TO THE MODESTY OF WOMEN,2004,251
HARYANA,INSULT TO THE MODESTY OF WOMEN,2004,959
HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN,2004,17
JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN,2004,319
JHARKHAND,INSULT TO THE MODESTY OF WOMEN,2004,29
KARNATAKA,INSULT TO THE MODESTY OF WOMEN,2004,63
KERALA,INSULT TO THE MODESTY OF WOMEN,2004,148
MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN,2004,1032
MAHARASHTRA,INSULT TO THE MODESTY OF WOMEN,2004,1092
MANIPUR,INSULT TO THE MODESTY OF WOMEN,2004,0
MEGHALAYA,INSULT TO THE MODESTY OF WOMEN,2004,0
MIZORAM,INSULT TO THE MODESTY OF WOMEN,2004,0
NAGALAND,INSULT TO THE MODESTY OF WOMEN,2004,0
ODISHA,INSULT TO THE MODESTY OF WOMEN,2004,255
PUNJAB,INSULT TO THE MODESTY OF WOMEN,2004,43
RAJASTHAN,INSULT TO THE MODESTY OF WOMEN,2004,51
SIKKIM,INSULT TO THE MODESTY OF WOMEN,2004,0
TAMIL NADU,INSULT TO THE MODESTY OF WOMEN,2004,1037
TRIPURA,INSULT TO THE MODESTY OF WOMEN,2004,0
UTTAR PRADESH,INSULT TO THE MODESTY OF WOMEN,2004,4176
UTTARAKHAND,INSULT TO THE MODESTY OF WOMEN,2004,267
WEST BENGAL,INSULT TO THE MODESTY OF WOMEN,2004,90
A & N ISLANDS,INSULT TO THE MODESTY OF WOMEN,2004,3
CHANDIGARH,INSULT TO THE MODESTY OF WOMEN,2004,24
D & N HAVELI,INSULT TO THE MODESTY OF WOMEN,2004,0
DAMAN & DIU,INSULT TO THE MODESTY OF WOMEN,2004,0
DELHI,INSULT TO THE MODESTY OF WOMEN,2004,137
LAKSHADWEEP,INSULT TO THE MODESTY OF WOMEN,2004,0
PUDUCHERRY,INSULT TO THE MODESTY OF WOMEN,2004,41
ANDHRA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,15583
ARUNACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,4
ASSAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,3171
BIHAR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,4123
CHHATTISGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,2267
GOA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,45
GUJARAT,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,12236
HARYANA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,3427
HIMACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,534
JAMMU & KASHMIR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,172
JHARKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1025
KARNATAKA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,2795
KERALA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,5637
MADHYA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,10310
MAHARASHTRA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,20490
MANIPUR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,0
MEGHALAYA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,3
MIZORAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,0
NAGALAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,0
ODISHA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,2086
PUNJAB,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1939
RAJASTHAN,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,8116
SIKKIM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1
TAMIL NADU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,2540
TRIPURA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,493
UTTAR PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,14394
UTTARAKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1454
WEST BENGAL,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,10212
A & N ISLANDS,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,15
CHANDIGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,134
D & N HAVELI,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,6
DAMAN & DIU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,8
DELHI,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,2435
LAKSHADWEEP,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1
PUDUCHERRY,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2004,1
ANDHRA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,5
ARUNACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
ASSAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
BIHAR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,39
CHHATTISGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
GOA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
GUJARAT,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
HARYANA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
HIMACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
JAMMU & KASHMIR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
JHARKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
KARNATAKA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
KERALA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
MADHYA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
MAHARASHTRA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
MANIPUR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
MEGHALAYA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
MIZORAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
NAGALAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
ODISHA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
PUNJAB,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
RAJASTHAN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,5
SIKKIM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
TAMIL NADU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
TRIPURA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
UTTAR PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,7
UTTARAKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
WEST BENGAL,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,12
A & N ISLANDS,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
CHANDIGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
D & N HAVELI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
DAMAN & DIU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
DELHI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
LAKSHADWEEP,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
PUDUCHERRY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2004,0
ANDHRA PRADESH,IMMORAL TRAFFIC (P) ACT,2004,1066
ARUNACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,2004,0
ASSAM,IMMORAL TRAFFIC (P) ACT,2004,82
BIHAR,IMMORAL TRAFFIC (P) ACT,2004,50
CHHATTISGARH,IMMORAL TRAFFIC (P) ACT,2004,40
GOA,IMMORAL TRAFFIC (P) ACT,2004,71
GUJARAT,IMMORAL TRAFFIC (P) ACT,2004,156
HARYANA,IMMORAL TRAFFIC (P) ACT,2004,275
HIMACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,2004,15
JAMMU & KASHMIR,IMMORAL TRAFFIC (P) ACT,2004,29
JHARKHAND,IMMORAL TRAFFIC (P) ACT,2004,5
KARNATAKA,IMMORAL TRAFFIC (P) ACT,2004,2571
KERALA,IMMORAL TRAFFIC (P) ACT,2004,426
MADHYA PRADESH,IMMORAL TRAFFIC (P) ACT,2004,133
MAHARASHTRA,IMMORAL TRAFFIC (P) ACT,2004,1149
MANIPUR,IMMORAL TRAFFIC (P) ACT,2004,0
MEGHALAYA,IMMORAL TRAFFIC (P) ACT,2004,0
MIZORAM,IMMORAL TRAFFIC (P) ACT,2004,4
NAGALAND,IMMORAL TRAFFIC (P) ACT,2004,12
ODISHA,IMMORAL TRAFFIC (P) ACT,2004,63
PUNJAB,IMMORAL TRAFFIC (P) ACT,2004,140
RAJASTHAN,IMMORAL TRAFFIC (P) ACT,2004,272
SIKKIM,IMMORAL TRAFFIC (P) ACT,2004,3
TAMIL NADU,IMMORAL TRAFFIC (P) ACT,2004,3793
TRIPURA,IMMORAL TRAFFIC (P) ACT,2004,0
UTTAR PRADESH,IMMORAL TRAFFIC (P) ACT,2004,259
UTTARAKHAND,IMMORAL TRAFFIC (P) ACT,2004,17
WEST BENGAL,IMMORAL TRAFFIC (P) ACT,2004,258
