State,Crime_Head,Year,Persons_Arrested
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,1161
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,982
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2106
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,15
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,1033
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,567
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,431
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,1034
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,384
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2401
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2317
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,8196
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,3385
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,12
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,13
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,58
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,0
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2278
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,462
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,3282
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,0
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,2283
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,62
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,3960
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,150
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,1163
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2001,19
